leagueId,tier,number
02a90f50-fe67-11e7-979b-c81f66dbb56c,SILVER,200
02b27d80-469a-11e8-a82d-c81f66cf2333,SILVER,200
02b6cc00-fd98-11e7-a367-c81f66dbb56c,SILVER,200
02b70e20-fe1c-11e7-979b-c81f66dbb56c,SILVER,201
02bca7c0-facc-11e7-8a52-c81f66cf135e,GOLD,202
02c237f0-ffac-11e7-b4cc-c81f66cf2333,BRONZE,183
02d46250-0c8f-11e8-919f-c81f66cf2333,GOLD,199
02e46b20-0e40-11e8-8a89-c81f66dbb56c,GOLD,200
02e66550-1864-11e8-9e8c-c81f66cf135e,SILVER,200
02e79950-0646-11e8-9727-c81f66cf135e,GOLD,200
02f70030-06d6-11e8-979b-c81f66dbb56c,GOLD,204
02f82ee0-fb34-11e7-bea7-c81f66dbb56c,SILVER,201
02fa8e30-fd08-11e7-bc10-c81f66cf135e,SILVER,201
030757d0-57ff-11e8-ae23-c81f66cf2333,DIAMOND,100
030792f0-fc0a-11e7-a61f-c81f66cf2333,SILVER,200
03083f80-03bb-11e8-b72a-c81f66dbb56c,DIAMOND,201
030ca340-222e-11e8-8d1b-c81f66cf2333,GOLD,200
030ca850-14fe-11e8-979b-c81f66dbb56c,GOLD,200
030ff290-4333-11e8-b378-c81f66dbb56c,SILVER,116
03192680-6c55-11e8-b118-c81f66cf2333,SILVER,101
0329b670-4483-11e8-977f-c81f66dbb56c,GOLD,200
032a2ba0-4483-11e8-977f-c81f66dbb56c,GOLD,200
0332fc90-0198-11e8-9e8c-c81f66cf135e,BRONZE,185
03406120-606e-11e8-b118-c81f66cf2333,GOLD,164
0340c3a0-169e-11e8-a89d-c81f66cf135e,SILVER,171
03494450-4810-11e8-a82d-c81f66cf2333,PLATINUM,105
034c6a10-1c49-11e8-a61f-c81f66cf2333,SILVER,200
0358a0f0-07c2-11e8-bc10-c81f66cf135e,SILVER,200
0364dcb0-fbdf-11e7-a89d-c81f66cf135e,BRONZE,197
036e94b0-0b09-11e8-9e61-c81f66cf2333,BRONZE,107
037163e0-1aac-11e8-979b-c81f66dbb56c,PLATINUM,100
03770f20-0535-11e8-9e61-c81f66cf2333,SILVER,199
037d4a70-03a5-11e8-919f-c81f66cf2333,SILVER,200
03912cc0-fbf3-11e7-b4cc-c81f66cf2333,BRONZE,200
039f1a10-fda1-11e7-b72a-c81f66dbb56c,BRONZE,200
03b538f0-2e5b-11e8-b378-c81f66dbb56c,GOLD,200
03b6d110-1b4b-11e8-9727-c81f66cf135e,SILVER,201
03bbcb70-0494-11e8-b72a-c81f66dbb56c,SILVER,200
03c3ec10-3fcc-11e8-977f-c81f66dbb56c,PLATINUM,102
03c41320-3fcc-11e8-977f-c81f66dbb56c,PLATINUM,200
03c4fd80-3fcc-11e8-977f-c81f66dbb56c,PLATINUM,102
03c87530-fb4a-11e7-bea7-c81f66dbb56c,SILVER,200
03cc2390-ff0c-11e7-8a89-c81f66dbb56c,SILVER,200
03d5d990-4dc6-11e8-9823-c81f66cf2333,SILVER,124
03e8dd60-2279-11e8-838a-c81f66cf135e,SILVER,161
03ec8ea0-141a-11e8-979b-c81f66dbb56c,BRONZE,109
03efa1c0-fcf6-11e7-979b-c81f66dbb56c,SILVER,200
03f1ab40-29b1-11e8-bb3d-c81f66cf135e,GOLD,200
03f35890-26f6-11e8-8d1b-c81f66cf2333,SILVER,165
03f5dbb0-0eaf-11e8-a89d-c81f66cf135e,GOLD,200
03f83230-fd83-11e7-919f-c81f66cf2333,SILVER,200
03f84c60-4357-11e8-bb3d-c81f66cf135e,GOLD,201
040d6520-352c-11e8-977f-c81f66dbb56c,SILVER,198
0426e9e0-1d6d-11e8-a367-c81f66dbb56c,SILVER,130
042e5680-14b2-11e8-9e61-c81f66cf2333,GOLD,200
043753c0-6d31-11e8-945e-c81f66dbb56c,SILVER,101
04489fb0-29c3-11e8-959b-c81f66cf135e,SILVER,117
044c0b80-4374-11e8-b378-c81f66dbb56c,PLATINUM,100
045dc800-fe16-11e7-9e8c-c81f66cf135e,GOLD,202
04810e20-12b4-11e8-919f-c81f66cf2333,SILVER,200
0485e520-0e4b-11e8-a367-c81f66dbb56c,SILVER,199
049f30d0-fc34-11e7-9e8c-c81f66cf135e,SILVER,200
04a30850-1ed9-11e8-838a-c81f66cf135e,BRONZE,106
04aae320-1dbe-11e8-8c5c-c81f66cf2333,SILVER,153
04b6bee0-2983-11e8-83fd-c81f66dbb56c,SILVER,200
04c03440-67ca-11e8-8d1d-c81f66dbb56c,SILVER,100
04c986d0-0424-11e8-919f-c81f66cf2333,SILVER,201
04cb6290-fef5-11e7-bc10-c81f66cf135e,SILVER,197
04cc1440-2986-11e8-a09c-c81f66dbb56c,GOLD,202
04d29b00-fd33-11e7-9727-c81f66cf135e,SILVER,201
04e5d130-fe6d-11e7-8a89-c81f66dbb56c,SILVER,200
04ece650-0bc4-11e8-b4cc-c81f66cf2333,BRONZE,108
04f000b0-fd78-11e7-a367-c81f66dbb56c,PLATINUM,191
04f05fa0-40f4-11e8-80ab-c81f66cf135e,GOLD,200
04f17d60-3067-11e8-838a-c81f66cf135e,SILVER,170
05377600-fc30-11e7-a89d-c81f66cf135e,PLATINUM,177
05387ba0-1061-11e8-8a89-c81f66dbb56c,SILVER,199
0539cea0-39f7-11e8-838a-c81f66cf135e,PLATINUM,100
053e9640-692e-11e8-b4af-c81f66cf135e,SILVER,106
054a14f0-0bd9-11e8-a61f-c81f66cf2333,SILVER,200
054ac500-47e1-11e8-959b-c81f66cf135e,SILVER,113
0553de90-102f-11e8-979b-c81f66dbb56c,SILVER,200
055dc8c0-fd9b-11e7-9e61-c81f66cf2333,SILVER,200
05664e50-06dd-11e8-a61f-c81f66cf2333,SILVER,200
056a76f0-6dbd-11e8-ae23-c81f66cf2333,GOLD,104
0578b6f0-3eda-11e8-8d1b-c81f66cf2333,PLATINUM,102
05843900-fc89-11e7-b4cc-c81f66cf2333,SILVER,202
05900f60-fc06-11e7-a89d-c81f66cf135e,SILVER,200
05a1c450-3309-11e8-8d1b-c81f66cf2333,GOLD,197
05a5bb80-5f75-11e8-945e-c81f66dbb56c,SILVER,137
05ad1c10-24bd-11e8-977f-c81f66dbb56c,SILVER,200
05b6b750-0624-11e8-8a89-c81f66dbb56c,SILVER,200
05b782e0-fb69-11e7-a067-c81f66cf135e,SILVER,202
05bbb4b0-0f09-11e8-9727-c81f66cf135e,PLATINUM,189
05c4ddc0-398d-11e8-838a-c81f66cf135e,GOLD,200
05c6ace0-0463-11e8-b4cc-c81f66cf2333,BRONZE,139
05d90a10-fb68-11e7-9776-c81f66dbb56c,SILVER,200
05e02050-04bb-11e8-a61f-c81f66cf2333,GOLD,200
05e36b20-1fd7-11e8-838a-c81f66cf135e,SILVER,200
05e8ef90-fd8c-11e7-a61f-c81f66cf2333,BRONZE,201
05ef8c60-02c8-11e8-a89d-c81f66cf135e,GOLD,201
05f5d550-4e74-11e8-97c6-c81f66cf135e,GOLD,200
05fae300-fd62-11e7-bc10-c81f66cf135e,PLATINUM,198
05fec880-0703-11e8-bc10-c81f66cf135e,SILVER,201
06052ca0-4a58-11e8-bb3d-c81f66cf135e,SILVER,120
060d66c0-ff69-11e7-a61f-c81f66cf2333,BRONZE,200
0611f830-297a-11e8-838a-c81f66cf135e,BRONZE,105
06169690-fbdc-11e7-9e65-c81f66cf2333,SILVER,200
062a4ce0-ffd2-11e7-979b-c81f66dbb56c,SILVER,200
0641f140-0b0f-11e8-9727-c81f66cf135e,SILVER,201
064390c0-fcde-11e7-b4cc-c81f66cf2333,PLATINUM,199
